id,brand_number,brand_name,size,sales_mrp,updated_at,product_type
1,0110,OFFICER`S CHOICE RESERVE WHISKY,180 ml,677,2026-03-30 11:12:01.169066,
2,0239,TEACHERS HIGHLAND CREAM BLENDED SCOTCH WHISKY,375 ml,765,2026-03-30 11:12:26.045597,
3,9099,JOHNNIE WALKER RED LABEL BLENDED SCOTCH WHISKY Duty Paid,750 ml,2610,2026-04-10 00:29:11.714,IML
4,546,8PM PREMIUM BLACK WHISKY,375 ml,440,2026-04-09 23:59:11.853,IML
7,1079,ROYAL CHALLENGE AMERICAN PRIDE LUXE GOLD WHISKY,180 ml,340,2026-04-10 00:09:12.347,IML
9,1079,ROYAL CHALLENGE AMERICAN PRIDE LUXE GOLD WHISKY,375 ml,680,2026-04-10 00:09:25.5,IML
10,1079,ROYAL CHALLENGE AMERICAN PRIDE LUXE GOLD WHISKY,750 ml,1360,2026-04-10 00:09:39.066,IML
11,19,MCDOWELLS NO 1 LUXURY WHISKY,90 ml,100,2026-04-09 23:19:21.932712,IML
12,19,MCDOWELLS NO 1 LUXURY WHISKY,180 ml,190,2026-04-09 23:19:47.203343,IML
13,19,MCDOWELLS NO 1 LUXURY WHISKY,375 ml,380,2026-04-09 23:20:21.540552,IML
14,19,MCDOWELLS NO 1 LUXURY WHISKY,750 ml,760,2026-04-09 23:21:55.509,IML
16,110,OFFICER`S CHOICE RESERVE WHISKY,90 ml,90,2026-04-10 03:31:18.101,IML
17,110,OFFICER`S CHOICE RESERVE WHISKY,180 ml,160,2026-04-10 01:52:32.893,IML
19,110,OFFICER`S CHOICE RESERVE WHISKY,375 ml,320,2026-04-09 23:32:20.196848,IML
20,110,OFFICER`S CHOICE RESERVE WHISKY,750 ml,640,2026-04-09 23:36:41.067561,IML
21,110,OFFICER`S CHOICE RESERVE WHISKY,1000 ml,830,2026-04-09 23:37:04.493458,IML
22,239,TEACHERS HIGHLAND CREAM BLENDED SCOTCH WHISKY,180 ml,580,2026-04-09 23:41:50.716028,IML
23,239,TEACHERS HIGHLAND CREAM BLENDED SCOTCH WHISKY,375 ml,1160,2026-04-09 23:42:10.512952,IML
24,239,TEACHERS HIGHLAND CREAM BLENDED SCOTCH WHISKY,750 ml,2320,2026-04-09 23:42:28.553496,IML
25,256,TI MANSION HOUSE GOLD WHISKY,180 ml,230,2026-04-09 23:42:57.249642,IML
26,256,TI MANSION HOUSE GOLD WHISKY,375 ml,460,2026-04-09 23:43:14.377139,IML
27,256,TI MANSION HOUSE GOLD WHISKY,750 ml,920,2026-04-09 23:43:29.204419,IML
28,258,SEAGRAM`S IMPERIAL BLUE CLASSIC GRAIN WHISKY,90 ml,100,2026-04-09 23:43:47.402476,IML
29,258,SEAGRAM`S IMPERIAL BLUE CLASSIC GRAIN WHISKY,180 ml,190,2026-04-09 23:44:02.194485,IML
30,258,SEAGRAM`S IMPERIAL BLUE CLASSIC GRAIN WHISKY,375 ml,380,2026-04-09 23:44:19.097684,IML
31,258,SEAGRAM`S IMPERIAL BLUE CLASSIC GRAIN WHISKY,750 ml,760,2026-04-09 23:44:46.759519,IML
32,258,SEAGRAM`S IMPERIAL BLUE CLASSIC GRAIN WHISKY,1000 ml,1010,2026-04-09 23:45:01.098501,IML
33,259,SEAGRAM`S ROYAL STAG BLENDED WHISKY,90 ml,120,2026-04-09 23:45:24.61907,IML
34,259,SEAGRAM`S ROYAL STAG BLENDED WHISKY,180 ml,220,2026-04-09 23:45:39.432166,IML
35,259,SEAGRAM`S ROYAL STAG BLENDED WHISKY,375 ml,440,2026-04-09 23:45:56.651855,IML
36,259,SEAGRAM`S ROYAL STAG BLENDED WHISKY,750 ml,880,2026-04-09 23:46:16.133371,IML
37,261,TI COURIER NAPOLEON FINEST PURE GRAPE FRENCH BRANDY,750 ml,880,2026-04-09 23:46:45.76062,IML
38,316,MAGIC MOMENTS FLAVOURED PR.VODKA-GREEN APPLE,180 ml,210,2026-04-09 23:47:00.346672,IML
39,316,MAGIC MOMENTS FLAVOURED PR.VODKA-GREEN APPLE,375 ml,420,2026-04-09 23:47:13.197781,IML
40,353,STERLING RESERVE B7 SELECT BLENDED WHISKY,90 ml,120,2026-04-09 23:47:34.000033,IML
41,353,STERLING RESERVE B7 SELECT BLENDED WHISKY,180 ml,220,2026-04-09 23:47:48.190324,IML
42,353,STERLING RESERVE B7 SELECT BLENDED WHISKY,375 ml,440,2026-04-09 23:48:04.215311,IML
43,353,STERLING RESERVE B7 SELECT BLENDED WHISKY,750 ml,880,2026-04-09 23:48:18.620238,IML
44,353,STERLING RESERVE B7 SELECT BLENDED WHISKY,1000 ml,1180,2026-04-09 23:48:32.132693,IML
45,355,STERLING RESERVE B10 PREMIERE BLENDED WHISKY,750 ml,1400,2026-04-09 23:48:51.109978,IML
46,382,ROYAL CHALLENGE CLASSIC MALT WHISKY,180 ml,300,2026-04-09 23:49:27.70691,IML
47,382,ROYAL CHALLENGE CLASSIC MALT WHISKY,375 ml,600,2026-04-09 23:49:39.673986,IML
48,382,ROYAL CHALLENGE CLASSIC MALT WHISKY,750 ml,1200,2026-04-09 23:49:53.59866,IML
49,382,ROYAL CHALLENGE CLASSIC MALT WHISKY,1000 ml,1480,2026-04-09 23:50:08.71573,IML
50,382,ROYAL CHALLENGE CLASSIC MALT WHISKY,2000 ml,2960,2026-04-09 23:50:23.317305,IML
